Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
1,TechCorp,Email,Women 25-34,30 days,Facebook,5.294193574,9344,62.94,Houston,English,3045,67836,5,Tech Enthusiasts,01-01-2023
2,Innovate Industries,Influencer,Women 35-44,45 days,Google Ads,3.326375241,8783,10.67,"Washington, D.C.",German,1944,66361,4,Foodies,01-01-2023
3,NexGen Systems,Social Media,Women 25-34,45 days,Instagram,4.056375241,9111,73.2,Miami,Spanish,3156,86240,8,Fashionistas,01-01-2023
4,Innovate Industries,Email,Women 25-34,45 days,Instagram,4.496375241,7420,60.92,Seattle,Spanish,2388,58251,6,Foodies,01-01-2023
5,Data Tech Solutions,Influencer,Men 25-34,30 days,Google Ads,4.405929621,2146,138.82,Chicago,English,1025,34407,5,Tech Enthusiasts,01-01-2023
6,NexGen Systems,Social Media,Women 35-44,15 days,Google Ads,5.481448637,9416,-20.35,"Washington, D.C.",English,1500,52838,8,Outdoor Adventurers,01-01-2023
7,Alpha Innovations,Display,Women 35-44,30 days,Website,3.916375241,1065,1122.07,"Washington, D.C.",Spanish,2603,73970,5,Outdoor Adventurers,01-01-2023
8,NexGen Systems,Influencer,Women 25-34,30 days,Facebook,4.516375241,5634,10.49,Los Angeles,Mandarin,1245,30219,5,Foodies,01-01-2023
9,Innovate Industries,Email,Women 25-34,45 days,Email,5.860946252,4110,-11.68,"Washington, D.C.",English,726,33932,5,Tech Enthusiasts,01-01-2023
10,NexGen Systems,Email,Men 25-34,60 days,Google Ads,4.746375241,7923,-38.03,"Washington, D.C.",Mandarin,982,22593,4,Tech Enthusiasts,01-01-2023
11,Data Tech Solutions,Display,Women 25-34,45 days,Email,5.286375241,2090,497.61,Atlanta,Mandarin,2498,51097,5,Health & Wellness,01-01-2023
12,NexGen Systems,Display,Women 35-44,15 days,Website,5.296375241,5833,-35.8,Dallas,Mandarin,749,15286,7,Health & Wellness,01-01-2023
13,Alpha Innovations,Search,Men 18-24,30 days,Facebook,3.476375241,1029,259.09,Los Angeles,German,739,24005,4,Health & Wellness,01-01-2023
14,Alpha Innovations,Influencer,Women 35-44,15 days,Email,5.49179025,1079,1306.39,Chicago,English,3035,74028,5,Tech Enthusiasts,01-01-2023
15,NexGen Systems,Display,All Ages,15 days,Instagram,4.626375241,2172,699.49,Atlanta,Spanish,3473,82122,5,Outdoor Adventurers,01-01-2023
16,Alpha Innovations,Social Media,Men 25-34,15 days,Google Ads,3.456375241,1780,142.7,"Washington, D.C.",Spanish,864,28256,5,Foodies,01-01-2023
17,Data Tech Solutions,Email,Women 35-44,30 days,Instagram,5.396375241,4940,-57.69,"Washington, D.C.",Spanish,418,8366,5,Outdoor Adventurers,01-01-2023
18,TechCorp,Email,Women 25-34,30 days,Website,3.156375241,7875,12.89,Seattle,Mandarin,1778,64439,4,Outdoor Adventurers,01-01-2023
19,Innovate Industries,Search,Women 25-34,60 days,YouTube,4.420392248,5966,-95.81,Los Angeles,English,50,1383,4,Fashionistas,01-01-2023
20,NexGen Systems,Email,Men 25-34,30 days,Website,5.902212124,9665,157.22,Los Angeles,English,4972,91567,5,Tech Enthusiasts,01-01-2023
21,Innovate Industries,Social Media,Men 18-24,45 days,Email,5.586375241,6884,-71.67,Dallas,Spanish,390,7532,5,Fashionistas,01-01-2023
22,TechCorp,Email,Men 25-34,30 days,Google Ads,5.956375241,4415,206.23,Chicago,German,2704,48641,5,Outdoor Adventurers,01-01-2023
23,Data Tech Solutions,Influencer,Women 35-44,15 days,Google Ads,4.426375241,9043,-92.54,"Washington, D.C.",Mandarin,135,3351,7,Fashionistas,01-01-2023
24,Innovate Industries,Social Media,Women 25-34,30 days,Instagram,4.426375241,9548,101.09,Atlanta,Spanish,3840,95286,8,Health & Wellness,01-01-2023
25,TechCorp,Social Media,Men 25-34,30 days,Facebook,4.796375241,4391,164.06,Atlanta,Spanish,2319,52711,8,Fashionistas,01-01-2023
26,NexGen Systems,Email,All Ages,15 days,Website,3.816375241,8238,-69.05,New York,Spanish,510,14925,5,Outdoor Adventurers,01-01-2023
27,Innovate Industries,Search,Men 25-34,30 days,Instagram,5.325986341,9453,31.23,San Francisco,English,2481,42928,5,Outdoor Adventurers,01-01-2023
28,NexGen Systems,Email,Women 25-34,30 days,Website,4.236375241,4566,59,New York,French,1452,37826,5,Health & Wellness,01-01-2023
29,Data Tech Solutions,Display,Women 25-34,60 days,Email,5.396375241,3460,183.24,Dallas,German,1960,39217,4,Fashionistas,01-01-2023
30,Data Tech Solutions,Search,All Ages,30 days,Facebook,4.086375241,1133,296.29,Chicago,Mandarin,898,24345,5,Outdoor Adventurers,01-01-2023
31,Alpha Innovations,Social Media,Men 25-34,15 days,Instagram,5.986375241,8069,-37.04,Miami,Spanish,1016,18191,8,Health & Wellness,01-01-2023
32,NexGen Systems,Influencer,Men 25-34,45 days,Email,4.016375241,1203,809.81,Dallas,German,2189,60481,5,Fashionistas,01-01-2023
33,TechCorp,Social Media,Men 25-34,30 days,Facebook,6.626375241,1111,93.97,Miami,Spanish,431,6920,8,Tech Enthusiasts,01-01-2023
34,Alpha Innovations,Search,Women 25-34,60 days,Facebook,5.116375241,9168,-88.06,Dallas,Mandarin,219,4655,5,Health & Wellness,01-01-2023
35,TechCorp,Social Media,Women 25-34,60 days,Website,6.746375241,9671,102.46,New York,Spanish,3916,61684,5,Tech Enthusiasts,01-01-2023
36,Innovate Industries,Influencer,Women 35-44,45 days,Instagram,7.206375241,7545,-55.07,New York,German,678,9966,5,Health & Wellness,01-01-2023
37,NexGen Systems,Social Media,Women 25-34,15 days,Email,5.631374817,5451,4.75,Atlanta,English,1142,22808,8,Foodies,01-01-2023
38,Data Tech Solutions,Display,Women 25-34,30 days,Google Ads,4.466375241,8436,-50.69,San Francisco,German,832,20461,4,Tech Enthusiasts,01-01-2023
39,NexGen Systems,Social Media,All Ages,30 days,Instagram,6.326375241,3380,99.26,Houston,French,1347,22726,5,Outdoor Adventurers,01-01-2023
40,Innovate Industries,Display,All Ages,30 days,Google Ads,7.256375241,5194,434.75,Miami,German,5555,80986,5,Fashionistas,01-01-2023
41,Innovate Industries,Email,Women 35-44,45 days,Instagram,4.780169929,7776,-55.95,"Washington, D.C.",English,685,15262,4,Health & Wellness,01-01-2023
42,NexGen Systems,Email,Women 25-34,30 days,YouTube,5.606375241,6662,237.51,Chicago,French,4497,86321,8,Health & Wellness,01-01-2023
43,NexGen Systems,Display,Women 25-34,15 days,YouTube,5.166375241,2019,129.32,Dallas,German,926,19425,5,Tech Enthusiasts,01-01-2023
44,Innovate Industries,Social Media,Women 35-44,45 days,Instagram,4.701294609,8321,89.76,Los Angeles,English,3158,64329,8,Outdoor Adventurers,01-01-2023
45,Innovate Industries,Social Media,Men 25-34,45 days,Facebook,5.266375241,5688,139.1,Los Angeles,Mandarin,2720,55857,5,Fashionistas,01-01-2023
46,NexGen Systems,Display,Women 25-34,45 days,Website,4.310585295,8366,93.16,Chicago,English,3232,66514,4,Fashionistas,01-01-2023
47,Alpha Innovations,Email,Women 25-34,15 days,Email,4.889599418,4867,86.25,Chicago,English,1813,32436,4,Outdoor Adventurers,01-01-2023
48,Data Tech Solutions,Influencer,Men 18-24,45 days,YouTube,6.326375241,6181,-13.61,Los Angeles,French,1068,18021,4,Tech Enthusiasts,01-01-2023
49,Data Tech Solutions,Email,All Ages,45 days,Website,4.456375241,7037,-46.14,Houston,Spanish,758,18691,5,Foodies,01-01-2023
50,Data Tech Solutions,Social Media,Women 35-44,30 days,Facebook,6.656375241,3182,246.17,Los Angeles,Spanish,2203,35201,8,Fashionistas,01-01-2023
51,Alpha Innovations,Email,Women 25-34,30 days,Website,5.007287462,8095,48.36,Houston,English,2402,50374,9,Tech Enthusiasts,01-01-2023
52,Alpha Innovations,Search,Men 25-34,15 days,Website,6.726375241,6321,322.32,Atlanta,German,5339,84346,5,Outdoor Adventurers,01-01-2023
53,NexGen Systems,Search,Women 35-44,30 days,Instagram,6.846375241,4559,174.29,Dallas,Spanish,2501,38782,5,Outdoor Adventurers,01-01-2023
54,NexGen Systems,Influencer,All Ages,45 days,Google Ads,6.396375241,1400,1160,San Francisco,French,3528,58812,4,Foodies,01-01-2023
55,TechCorp,Influencer,Women 25-34,45 days,Facebook,5.192371454,4446,315.77,Miami,English,3697,57868,4,Outdoor Adventurers,01-01-2023
56,NexGen Systems,Influencer,Women 25-34,60 days,Email,5.266375241,2407,867.8,Los Angeles,French,4659,95682,5,Fashionistas,01-01-2023
57,NexGen Systems,Social Media,Women 25-34,15 days,Email,4.566375241,4610,240.35,Miami,French,3138,75256,5,Tech Enthusiasts,01-01-2023
58,Alpha Innovations,Search,Women 35-44,30 days,Email,4.186375241,4522,-89.39,Dallas,German,96,2541,5,Outdoor Adventurers,01-01-2023
59,TechCorp,Display,Women 35-44,30 days,Email,5.266375241,7036,7.59,Miami,German,1514,31103,5,Health & Wellness,01-01-2023
60,Alpha Innovations,Influencer,Men 25-34,45 days,Facebook,4.666375241,7224,-5.04,Houston,Mandarin,1372,32142,7,Fashionistas,01-01-2023
61,Data Tech Solutions,Influencer,Women 35-44,45 days,Email,4.086375241,6152,41.17,San Francisco,French,1737,47078,4,Foodies,01-01-2023
62,NexGen Systems,Display,All Ages,60 days,Instagram,4.914782764,9243,131.26,"Washington, D.C.",English,4275,98524,4,Tech Enthusiasts,01-01-2023
63,NexGen Systems,Search,All Ages,15 days,Website,4.946375241,7132,184.14,Chicago,Spanish,4053,89098,4,Health & Wellness,01-01-2023
64,Innovate Industries,Social Media,Women 25-34,15 days,Website,4.636375241,1013,1074.23,Chicago,Spanish,2379,56116,8,Outdoor Adventurers,01-01-2023
65,Alpha Innovations,Search,Men 25-34,30 days,Email,4.406375241,5228,-93.59,"Washington, D.C.",Spanish,67,1671,5,Tech Enthusiasts,01-01-2023
66,NexGen Systems,Social Media,Women 35-44,30 days,Instagram,4.296375241,5086,73.22,New York,Spanish,1762,45194,8,Fashionistas,01-01-2023
67,Innovate Industries,Influencer,Men 25-34,30 days,YouTube,5.075658836,2589,671.34,Atlanta,English,3994,82020,8,Health & Wellness,01-01-2023
68,Alpha Innovations,Email,Women 35-44,60 days,Website,4.316375241,2600,83.08,San Francisco,French,952,24302,4,Outdoor Adventurers,01-01-2023
69,Data Tech Solutions,Social Media,All Ages,15 days,Website,4.936375241,2730,180.04,"Washington, D.C.",Spanish,1529,33686,5,Health & Wellness,01-01-2023
70,Alpha Innovations,Social Media,Women 25-34,45 days,Google Ads,3.916375241,4704,267.45,Los Angeles,German,3457,98219,5,Foodies,01-01-2023
71,Data Tech Solutions,Email,Women 25-34,45 days,Website,4.146375241,6534,122.99,Chicago,German,2914,77714,4,Foodies,01-01-2023
72,Innovate Industries,Influencer,Men 25-34,30 days,YouTube,4.081296577,7352,165.03,San Francisco,English,3897,97681,5,Fashionistas,01-01-2023
73,NexGen Systems,Email,Women 25-34,45 days,Website,4.736375241,6006,123.86,New York,French,2689,61962,9,Tech Enthusiasts,01-01-2023
74,NexGen Systems,Display,Women 35-44,30 days,Website,3.426375241,5288,-4.88,San Francisco,German,1006,33219,5,Foodies,01-01-2023
75,Innovate Industries,Email,Men 25-34,15 days,Facebook,4.576375241,5473,131.59,San Francisco,German,2535,60655,5,Fashionistas,01-01-2023
76,Innovate Industries,Influencer,Men 25-34,15 days,YouTube,5.216375241,5687,225.13,Houston,Spanish,3698,76737,5,Fashionistas,01-01-2023
77,TechCorp,Influencer,Women 25-34,15 days,Google Ads,4.681069224,7437,203.28,Miami,English,4511,92643,4,Outdoor Adventurers,01-01-2023
78,Innovate Industries,Display,Women 25-34,15 days,YouTube,4.971260069,1764,157.09,Los Angeles,English,907,24009,5,Foodies,01-01-2023
79,Data Tech Solutions,Influencer,Men 25-34,45 days,Instagram,5.454667463,5030,177.14,Dallas,English,2788,60611,5,Health & Wellness,01-01-2023
80,Innovate Industries,Search,All Ages,60 days,Email,4.136375241,5339,48.06,Houston,Spanish,1581,42294,5,Tech Enthusiasts,01-01-2023
81,Alpha Innovations,Influencer,Women 25-34,30 days,Email,5.466375241,8930,111.42,Los Angeles,German,3776,74493,4,Tech Enthusiasts,01-01-2023
82,Alpha Innovations,Social Media,Women 25-34,45 days,Facebook,4.322555653,9164,139.63,Chicago,English,4392,75473,8,Outdoor Adventurers,01-01-2023
83,TechCorp,Email,Women 25-34,30 days,YouTube,4.616375241,8916,-85.53,New York,German,258,6133,5,Health & Wellness,01-01-2023
84,Innovate Industries,Influencer,Men 25-34,15 days,Website,5.566375241,9283,1.58,New York,German,1886,36487,5,Outdoor Adventurers,01-01-2023
85,TechCorp,Display,Women 25-34,45 days,Google Ads,5.646375241,7350,-36.46,Los Angeles,French,934,17801,6,Outdoor Adventurers,01-01-2023
86,Data Tech Solutions,Influencer,Women 25-34,30 days,Facebook,4.216375241,9734,-26.75,Los Angeles,German,1426,37347,4,Tech Enthusiasts,01-01-2023
87,Alpha Innovations,Social Media,Women 25-34,15 days,Google Ads,4.192584318,6636,303.93,New York,English,5361,96946,5,Health & Wellness,01-01-2023
88,TechCorp,Display,Women 25-34,30 days,Google Ads,5.156375241,5945,244.74,Seattle,Spanish,4099,86130,4,Fashionistas,01-01-2023
89,Alpha Innovations,Email,All Ages,15 days,Google Ads,3.516375241,8123,37.45,Chicago,French,2233,71577,5,Health & Wellness,01-01-2023
90,Data Tech Solutions,Social Media,Women 25-34,30 days,Website,3.476375241,8257,-0.81,Los Angeles,Spanish,1638,53205,5,Outdoor Adventurers,01-01-2023
91,Alpha Innovations,Email,Women 35-44,45 days,Google Ads,4.906375241,3599,109.64,Los Angeles,French,1509,33477,5,Foodies,01-01-2023
92,NexGen Systems,Display,Women 25-34,15 days,Instagram,5.652236663,1503,479.17,San Francisco,English,1741,51080,7,Fashionistas,01-01-2023
93,Data Tech Solutions,Influencer,All Ages,30 days,Website,5.706375241,1153,1357.07,Atlanta,German,3360,63282,4,Health & Wellness,01-01-2023
94,Innovate Industries,Display,Women 25-34,60 days,YouTube,5.746375241,7563,244.77,San Francisco,Spanish,5215,97483,5,Fashionistas,01-01-2023
95,TechCorp,Email,Women 35-44,30 days,Google Ads,3.032499821,2493,218.69,Houston,Spanish,1589,60423,4,Health & Wellness,02-01-2023
96,NexGen Systems,Search,Women 35-44,30 days,Email,2.572499821,9484,-90.35,Chicago,French,183,8447,5,Outdoor Adventurers,02-01-2023
97,Data Tech Solutions,Social Media,Women 25-34,30 days,Email,5.362801557,8612,-27.19,Seattle,English,1254,35244,8,Fashionistas,02-01-2023
98,Innovate Industries,Email,Women 25-34,15 days,Instagram,5.352499821,1058,1156.14,Miami,Mandarin,2658,53702,8,Health & Wellness,02-01-2023
99,TechCorp,Display,All Ages,30 days,Instagram,4.372499821,5222,4.27,Chicago,French,1089,27447,4,Foodies,02-01-2023
100,NexGen Systems,Display,Men 18-24,60 days,Instagram,2.782499821,9670,-22.75,Atlanta,German,1494,62812,5,Fashionistas,02-01-2023
101,NexGen Systems,Social Media,Women 25-34,45 days,Facebook,5.071245252,7305,124.57,Los Angeles,English,3281,99144,5,Outdoor Adventurers,02-01-2023
102,Innovate Industries,Display,Men 18-24,30 days,Facebook,4.125208974,7879,4.26,Miami,English,1643,46044,4,Health & Wellness,02-01-2023
103,NexGen Systems,Influencer,Men 18-24,15 days,Facebook,5.182499821,2021,212.47,Houston,Mandarin,1263,26438,5,Health & Wellness,02-01-2023
104,Innovate Industries,Social Media,Women 25-34,45 days,Facebook,3.162499821,5177,-69.19,Chicago,German,319,11579,8,Tech Enthusiasts,02-01-2023
105,TechCorp,Search,All Ages,45 days,Facebook,4.795463922,2030,872.41,Dallas,English,3948,89733,9,Foodies,02-01-2023
106,Innovate Industries,Influencer,Women 25-34,15 days,Facebook,3.852499821,5033,117.17,Miami,German,2186,63390,5,Outdoor Adventurers,02-01-2023
107,Data Tech Solutions,Search,Men 25-34,30 days,Email,6.122499821,4131,44.27,San Francisco,French,1192,20849,5,Health & Wellness,02-01-2023
